Property Type,Location,Bedrooms,Bathrooms,Size (sqft),Floor Number,Floor Level,Selling price (BDT),Balcony,Parking,Lift,CCTV,Generator,Source
Apartment,"Nayasarak, Sylhet",4,2,1728,5,5th Floor,"9,000,000",1,1,1,1,1,Bikroy.com
Apartment,"Subidbazar, Sylhet",3,2,2172,5,5th Floor,"13,000,000",1,1,0,1,1,self
Duplex,"Akhalia, Sylhet",2,2,3180,2,Ground + 2nd Floor,"24,000,000",1,1,0,1,0,Bikroy.com
House,"Kumarpara, Sylhet",6,5,1939,0,Whole house,"10,000,000",1,0,1,0,1,self
Apartment,"Bagbari, Sylhet",2,2,1051,6,6th Floor,"5,000,000",1,1,1,0,1,self
Duplex,"Shahporan, Sylhet",4,3,2301,2,Ground + 2nd Floor,"14,000,000",1,1,0,0,0,self
Apartment,"Chowhatta, Sylhet",6,4,1874,4,4th Floor,"12,000,000",4,0,0,1,1,self
Duplex,"Nayasarak, Sylhet",3,2,2378,1,Ground + 1st Floor,"14,700,000",2,1,1,1,1,self
House,"Pathantula, Sylhet",4,4,4172,0,Whole house,"27,000,000",3,0,0,1,0,self
Duplex,"Zindabazar, Sylhet",3,2,3316,2,Ground + 2nd Floor,"25,200,000",2,1,1,0,0,self
Duplex,"Mirabazar, Sylhet",2,2,2605,2,Ground + 2nd Floor,"17,300,000",4,0,1,1,1,self
Duplex,"Pathantula, Sylhet",3,2,3569,1,Ground + 1st Floor,"29,900,000",4,1,1,1,0,self
Apartment,"Chowhatta, Sylhet",4,4,1320,2,2nd Floor,"8,900,000",2,1,1,1,0,self
Duplex,"Mira Housing Estate, Sylhet",2,2,3463,2,Ground + 2nd Floor,"29,300,000",3,1,0,0,0,self
Duplex,"Dargah Gate, Sylhet",3,2,4116,2,Ground + 2nd Floor,"34,200,000",3,0,1,1,0,self
House,"Kumarpara, Sylhet",4,2,4906,0,Whole house,"25,300,000",1,0,0,0,1,self
House,"Tilagor, Sylhet",3,2,3855,0,Whole house,"18,900,000",3,0,0,0,0,self
Apartment,"Taltola, Sylhet",2,2,910,5,5th Floor,"4,600,000",2,0,1,0,0,self
House,"Kazirbazar, Sylhet",4,2,4458,0,Whole house,"28,900,000",1,1,0,0,1,self
Apartment,"Kazirbazar, Sylhet",2,2,2489,9,9th Floor,"16,000,000",3,1,0,0,1,self
Duplex,"Shahjalal Uposhahar, Sylhet",4,4,3548,1,Ground + 1st Floor,"24,000,000",4,0,0,0,1,self
House,"Mira Housing Estate, Sylhet",5,4,4492,0,Whole house,"31,200,000",2,0,1,1,0,self
Duplex,"Akhalia, Sylhet",4,2,4490,2,Ground + 2nd Floor,"31,300,000",4,1,0,1,0,self
Duplex,"Zindabazar, Sylhet",5,5,2816,1,Ground + 1st Floor,"23,100,000",3,0,0,0,0,self
Duplex,"Akhalia, Sylhet",3,2,2811,1,Ground + 1st Floor,"17,300,000",3,1,0,1,1,self
Apartment,"Shahjalal Uposhahar, Sylhet",4,3,1334,7,7th Floor,"11,000,000",4,0,0,1,1,self
Apartment,"Mirabazar, Sylhet",3,2,1739,8,8th Floor,"11,600,000",4,1,0,1,1,self
Apartment,"Kumarpara, Sylhet",3,2,1567,8,8th Floor,"10,300,000",2,1,0,0,1,self
House,"Shahjalal Uposhahar, Sylhet",3,2,2162,0,Whole house,"14,500,000",3,0,0,1,1,self
Apartment,"Chowhatta, Sylhet",6,6,2406,7,7th Floor,"10,000,000",2,1,0,1,0,self
Apartment,"Nayasarak, Sylhet",3,3,1519,4,4th Floor,"9,200,000",2,0,1,1,0,self
House,"Mira Housing Estate, Sylhet",4,2,3174,0,Whole house,"14,700,000",4,0,0,0,0,self
Duplex,"Pathantula, Sylhet",6,6,2629,1,Ground + 1st Floor,"14,900,000",4,0,0,1,0,self
Duplex,"Taltola, Sylhet",5,5,3117,1,Ground + 1st Floor,"25,200,000",2,0,1,1,0,self
House,"Shahjalal Uposhahar, Sylhet",3,3,2918,0,Whole house,"17,500,000",1,1,0,0,0,self
Duplex,"Ambarkhana, Sylhet",2,2,3294,1,Ground + 1st Floor,"25,800,000",3,1,1,1,1,self
Duplex,"Bagbari, Sylhet",4,3,3503,2,Ground + 2nd Floor,"24,700,000",4,1,1,0,0,self
Apartment,"Kazirbazar, Sylhet",6,4,2320,11,11th Floor,"16,200,000",3,0,0,0,0,self
Duplex,"Mira Housing Estate, Sylhet",2,2,4012,2,Ground + 2nd Floor,"29,500,000",3,1,1,1,1,self
Apartment,"Moulikergaon, Sylhet",5,4,1705,10,10th Floor,"8,600,000",1,1,0,0,1,self
House,"Shahporan, Sylhet",5,3,3938,0,Whole house,"27,200,000",3,0,0,0,1,self
Duplex,"Shibgonj, Sylhet",3,2,3698,1,Ground + 1st Floor,"30,500,000",2,1,0,0,1,self
House,"Kumarpara, Sylhet",4,3,3479,0,Whole house,"17,800,000",1,0,1,1,1,self
House,"Subidbazar, Sylhet",2,2,2989,0,Whole house,"18,900,000",4,1,0,0,0,self
Duplex,"Nayasarak, Sylhet",3,2,4332,1,Ground + 1st Floor,"34,800,000",4,1,1,1,0,self
Duplex,"Taltola, Sylhet",3,3,2436,1,Ground + 1st Floor,"16,400,000",3,1,1,0,1,self
House,"Bagbari, Sylhet",2,2,2163,0,Whole house,"11,500,000",4,1,1,0,1,self
House,"Moulikergaon, Sylhet",4,4,3470,0,Whole house,"21,700,000",3,1,0,1,0,self
Duplex,"Zindabazar, Sylhet",3,2,2459,1,Ground + 1st Floor,"19,300,000",3,1,1,1,1,self
House,"Dargah Gate, Sylhet",2,2,3693,0,Whole house,"23,200,000",4,0,0,1,1,self
House,"Tilagor, Sylhet",3,2,4545,0,Whole house,"24,700,000",1,0,1,1,1,self
Duplex,"Kumarpara, Sylhet",5,5,2121,2,Ground + 2nd Floor,"17,893,037",1,1,1,1,0,self
Duplex,"Chowhatta, Sylhet",7,4,3101,1,Ground + 1st Floor,"26,402,302",1,0,0,0,0,self
Duplex,"Subidbazar, Sylhet",3,2,4245,1,Ground + 1st Floor,"31,143,287",1,1,0,0,1,self
House,"Zindabazar, Sylhet",6,4,3050,0,Whole house,"22,567,876",2,1,1,1,0,self
Duplex,"Kazirbazar, Sylhet",6,4,4246,1,Ground + 1st Floor,"29,522,383",1,0,0,1,0,self
House,"Tilagor, Sylhet",5,5,3077,0,Whole house,"17,633,448",2,0,0,0,0,self
Duplex,"Nayasarak, Sylhet",4,3,5057,2,Ground + 2nd Floor,"30,118,079",1,1,1,0,1,self
Duplex,"Mirabazar, Sylhet",5,5,2768,1,Ground + 1st Floor,"19,840,474",2,0,0,1,0,self
Duplex,"Shahporan, Sylhet",4,4,4646,1,Ground + 1st Floor,"38,925,028",2,0,1,1,1,self
Duplex,"Chowhatta, Sylhet",3,3,2189,1,Ground + 1st Floor,"18,292,523",0,0,1,0,0,self
House,"Moulikergaon, Sylhet",3,4,2400,0,Whole house,"13,406,602",2,1,0,1,1,self
Duplex,"Shahjalal Uposhahar, Sylhet",4,2,3369,1,Ground + 1st Floor,"19,755,980",3,1,0,0,1,self
House,"Chowhatta, Sylhet",5,3,4425,0,Whole house,"27,616,147",4,1,1,0,0,self
Duplex,"Pathantula, Sylhet",4,4,3314,2,Ground + 2nd Floor,"28,320,183",2,0,0,0,0,self
Apartment,"Tilagor, Sylhet",3,3,1980,5,5th Floor,"9,755,892",2,0,1,1,0,self
House,"Shahjalal Uposhahar, Sylhet",5,4,3592,0,Whole house,"20,946,145",2,1,1,1,0,self
Apartment,"Kumarpara, Sylhet",5,3,2517,8,8th Floor,"18,870,012",4,1,0,1,0,self
House,"Dargah Gate, Sylhet",3,1,3602,0,Whole house,"23,941,803",4,0,0,1,1,self
Duplex,"Kumarpara, Sylhet",6,5,2093,2,Ground + 2nd Floor,"17,579,497",1,1,1,1,0,self
Apartment,"Taltola, Sylhet",3,3,1277,5,5th Floor,"6,753,121",3,0,1,0,1,self
House,"Bagbari, Sylhet",4,4,3459,0,Whole house,"19,771,447",2,1,1,0,1,self
Apartment,"Moulikergaon, Sylhet",5,4,1581,10,10th Floor,"8,372,346",1,1,0,0,1,self
Apartment,"Shibgonj, Sylhet",6,4,2221,3,3rd Floor,"12,813,052",3,0,1,0,0,self
Duplex,"Nayasarak, Sylhet",5,2,3093,2,Ground + 2nd Floor,"22,669,012",4,1,0,0,0,self
House,"Kumarpara, Sylhet",2,2,3458,0,Whole house,"16,369,904",2,0,1,0,1,self
House,"Pathantula, Sylhet",5,3,4707,0,Whole house,"26,547,618",3,0,0,1,0,self
Duplex,"Kumarpara, Sylhet",1,2,4668,1,Ground + 1st Floor,"33,619,376",1,0,0,1,0,self
Apartment,"Ambarkhana, Sylhet",4,4,1314,5,5th Floor,"6,711,722",3,0,0,1,0,self
Duplex,"Mendibagh, Sylhet",6,6,3472,2,Ground + 2nd Floor,"19,376,141",4,0,0,0,1,self
House,"Chowhatta, Sylhet",2,2,5161,0,Whole house,"24,079,407",3,1,0,1,0,self
Apartment,"Nayasarak, Sylhet",3,2,999,12,12th Floor,"6,112,439",4,1,1,1,0,self
Apartment,"Chowhatta, Sylhet",6,3,1853,4,4th Floor,"12,895,423",4,0,0,1,1,self
Apartment,"Subidbazar, Sylhet",5,4,1679,10,10th Floor,"9,176,605",2,0,0,0,0,self
Apartment,"Kazirbazar, Sylhet",5,2,2499,8,8th Floor,"10,091,192",2,1,1,1,1,self
Apartment,"Shahjalal Uposhahar, Sylhet",4,3,1231,7,7th Floor,"10,441,576",4,0,0,1,1,self
Duplex,"Shibgonj, Sylhet",3,2,2909,1,Ground + 1st Floor,"26,630,253",2,0,1,1,0,self
Apartment,"Chowhatta, Sylhet",4,2,1670,6,6th Floor,"6,392,905",2,0,0,0,1,self
Apartment,"Shahjalal Uposhahar, Sylhet",3,3,1257,2,2nd Floor,"5,060,406",2,1,0,1,0,self
Apartment,"Pathantula, Sylhet",3,2,2073,5,5th Floor,"12,878,757",4,1,0,0,0,self
Apartment,"Kazirbazar, Sylhet",2,2,2709,9,9th Floor,"16,480,207",3,1,0,0,1,self
Apartment,"Bagbari, Sylhet",4,4,1514,9,9th Floor,"8,478,294",3,1,0,1,0,self
House,"Mirabazar, Sylhet",2,2,3617,0,Whole house,"20,202,899",1,1,0,1,1,self
Duplex,"Kumarpara, Sylhet",3,2,4238,1,Ground + 1st Floor,"32,788,240",1,0,0,1,0,self
Apartment,"Subidbazar, Sylhet",2,3,1586,2,2nd Floor,"8,726,382",2,1,1,1,0,self
House,"Chowhatta, Sylhet",5,3,4084,0,Whole house,"23,463,233",4,1,1,0,0,self
House,"Bagbari, Sylhet",5,4,3085,0,Whole house,"14,491,622",4,1,1,1,0,self
Apartment,"Dargah Gate, Sylhet",6,6,951,9,9th Floor,"5,140,004",3,1,1,0,0,self
Duplex,"Subidbazar, Sylhet",2,3,4074,1,Ground + 1st Floor,"31,383,164",1,1,0,0,1,self
House,"Nayasarak, Sylhet",4,3,3447,0,Whole house,"14,707,929",4,1,0,1,1,self
Apartment,"Zindabazar, Sylhet",2,2,1072,12,12th Floor,"9,403,250",2,1,1,0,1,self
Duplex,"Dargah Gate, Sylhet",3,2,3677,1,Ground + 1st Floor,"24,616,473",2,0,0,0,0,self
House,"Mira Housing Estate, Sylhet",5,3,3562,0,Whole house,"20,221,724",2,1,1,0,1,self
Apartment,"Shahjalal Uposhahar, Sylhet",4,4,1666,9,9th Floor,"12,562,296",1,0,1,0,1,self
House,"Mira Housing Estate, Sylhet",4,2,2490,0,Whole house,"14,671,591",2,1,0,0,1,self
House,"Chowhatta, Sylhet",2,3,4572,0,Whole house,"22,420,177",3,1,0,1,0,self
Apartment,"Kumarpara, Sylhet",2,1,1622,8,8th Floor,"10,028,791",2,1,0,0,1,self
House,"Zindabazar, Sylhet",5,3,4718,0,Whole house,"33,639,448",3,1,1,1,0,self
House,"Dargah Gate, Sylhet",5,5,2198,0,Whole house,"14,344,721",2,0,0,0,1,self
Apartment,"Ambarkhana, Sylhet",4,4,1455,5,5th Floor,"6,853,011",3,0,0,1,0,self
Apartment,"Chowhatta, Sylhet",6,4,1932,4,4th Floor,"11,359,032",4,0,0,1,1,self
Apartment,"Kazirbazar, Sylhet",2,1,2726,9,9th Floor,"16,294,279",3,1,0,0,1,self
Duplex,"Akhalia, Sylhet",2,2,3296,2,Ground + 2nd Floor,"22,134,476",1,1,0,1,0,self
Apartment,"Bagbari, Sylhet",3,2,1055,6,6th Floor,"4,897,740",1,1,1,0,1,self
House,"Bagbari, Sylhet",2,2,4730,0,Whole house,"23,789,683",4,1,0,0,1,self
Duplex,"Dargah Gate, Sylhet",3,2,4308,1,Ground + 1st Floor,"21,838,034",2,0,0,0,0,self
House,"Subidbazar, Sylhet",5,4,3169,0,Whole house,"19,830,751",1,1,0,1,0,self
Duplex,"Tilagor, Sylhet",5,4,3199,1,Ground + 1st Floor,"30,329,887",1,0,1,1,0,self
House,"Akhalia, Sylhet",4,4,4731,0,Whole house,"24,737,666",1,1,0,1,1,self
Duplex,"Pathantula, Sylhet",3,2,3651,2,Ground + 2nd Floor,"22,504,344",3,1,1,1,0,self
Apartment,"Ambarkhana, Sylhet",6,5,1081,6,6th Floor,"6,117,634",4,0,0,1,1,self
House,"Ambarkhana, Sylhet",6,5,2574,0,Whole house,"20,294,014",1,0,1,1,0,self
Apartment,"Moulikergaon, Sylhet",5,4,1634,10,10th Floor,"9,509,760",1,1,0,0,1,self
Duplex,"Mira Housing Estate, Sylhet",2,3,3687,2,Ground + 2nd Floor,"29,567,695",3,1,1,1,1,self
House,"Mirabazar, Sylhet",3,2,2721,0,Whole house,"16,213,078",4,1,1,1,0,self
Apartment,"Tilagor, Sylhet",3,2,1917,6,6th Floor,"10,083,929",3,0,0,0,1,self
Duplex,"Ambarkhana, Sylhet",7,6,3268,1,Ground + 1st Floor,"21,868,632",4,1,0,1,0,self
Duplex,"Kumarpara, Sylhet",5,4,2471,2,Ground + 2nd Floor,"16,320,577",1,1,1,1,0,self
Apartment,"Dargah Gate, Sylhet",6,6,929,9,9th Floor,"4,788,943",3,1,1,0,0,self
Duplex,"Shahjalal Uposhahar, Sylhet",4,4,3505,1,Ground + 1st Floor,"24,644,102",4,0,0,0,1,self
Apartment,"Dargah Gate, Sylhet",6,6,1020,9,9th Floor,"4,455,359",3,1,1,0,0,self
Duplex,"Kumarpara, Sylhet",3,2,2626,1,Ground + 1st Floor,"20,015,996",1,0,0,0,1,self
Duplex,"Shahporan, Sylhet",4,4,2403,2,Ground + 2nd Floor,"16,281,100",1,1,0,0,0,self
House,"Nayasarak, Sylhet",2,2,3385,0,Whole house,"21,158,584",2,1,0,0,1,self
House,"Kumarpara, Sylhet",2,2,2062,0,Whole house,"9,767,016",4,0,0,1,0,self
House,"Nayasarak, Sylhet",5,4,3050,0,Whole house,"15,318,809",1,1,1,1,0,self
Apartment,"Mirabazar, Sylhet",4,2,1673,8,8th Floor,"11,973,021",4,1,0,1,1,self
House,"Tilagor, Sylhet",3,1,4595,0,Whole house,"26,014,270",1,0,1,1,1,self
Duplex,"Dargah Gate, Sylhet",2,2,2685,2,Ground + 2nd Floor,"20,275,487",3,0,0,0,1,self
Apartment,"Taltola, Sylhet",4,2,2183,2,2nd Floor,"13,190,568",1,1,0,0,0,self
Duplex,"Taltola, Sylhet",4,3,2147,1,Ground + 1st Floor,"13,721,009",3,1,1,0,1,self
Duplex,"Shibgonj, Sylhet",3,3,3757,1,Ground + 1st Floor,"32,825,479",2,1,0,0,1,self
Apartment,"Chowhatta, Sylhet",5,3,2132,12,12th Floor,"10,064,489",2,0,0,0,0,self
Duplex,"Pathantula, Sylhet",6,5,3873,1,Ground + 1st Floor,"27,298,287",3,0,0,0,1,self
Apartment,"Ambarkhana, Sylhet",2,1,1862,2,2nd Floor,"13,357,473",4,0,0,0,0,self
House,"Tilagor, Sylhet",4,2,3290,0,Whole house,"20,128,137",3,0,0,0,0,self
Duplex,"Tilagor, Sylhet",5,4,3115,1,Ground + 1st Floor,"28,632,675",1,0,1,1,0,self
House,"Moulikergaon, Sylhet",3,2,3201,0,Whole house,"15,616,080",2,0,0,1,1,self
Duplex,"Tilagor, Sylhet",2,3,3185,1,Ground + 1st Floor,"21,991,638",1,0,0,0,0,self
House,"Chowhatta, Sylhet",6,3,5231,0,Whole house,"28,634,716",4,1,1,0,0,self
House,"Kumarpara, Sylhet",6,6,4528,0,Whole house,"28,755,149",3,0,0,0,0,self
Apartment,"Mendibagh, Sylhet",5,2,1761,8,8th Floor,"10,429,672",4,0,0,0,0,self
House,"Mirabazar, Sylhet",4,4,3249,0,Whole house,"15,838,067",4,1,1,0,1,self
House,"Nayasarak, Sylhet",4,3,2776,0,Whole house,"12,741,229",4,1,0,1,1,self
Duplex,"Shahjalal Uposhahar, Sylhet",6,6,3546,1,Ground + 1st Floor,"27,509,923",4,1,1,1,0,self
Duplex,"Shahjalal Uposhahar, Sylhet",4,2,3264,1,Ground + 1st Floor,"24,207,150",3,1,0,0,1,self
Apartment,"Chowhatta, Sylhet",6,4,1848,4,4th Floor,"11,345,235",4,0,0,1,1,self
House,"Shahporan, Sylhet",5,6,3911,0,Whole house,"19,367,462",4,1,0,0,0,self
House,"Kumarpara, Sylhet",6,5,4737,0,Whole house,"29,940,221",3,0,0,0,0,self
Duplex,"Kazirbazar, Sylhet",5,5,3795,1,Ground + 1st Floor,"33,959,581",1,0,0,1,0,self
House,"Chowhatta, Sylhet",5,3,4328,0,Whole house,"29,235,726",4,1,1,0,0,self
House,"Chowhatta, Sylhet",2,2,4570,0,Whole house,"23,159,056",1,0,1,1,1,self
Apartment,"Tilagor, Sylhet",5,5,1193,8,8th Floor,"6,964,051",1,0,1,0,0,self
Duplex,"Akhalia, Sylhet",2,2,3594,2,Ground + 2nd Floor,"22,370,149",1,1,0,1,0,self
House,"Mira Housing Estate, Sylhet",2,2,3035,0,Whole house,"12,597,293",2,1,0,0,1,self
Apartment,"Ambarkhana, Sylhet",3,3,1885,4,4th Floor,"7,310,070",2,0,0,0,0,self
Apartment,"Zindabazar, Sylhet",3,2,1166,12,12th Floor,"8,191,651",2,1,1,0,1,self
House,"Dargah Gate, Sylhet",2,2,2986,0,Whole house,"21,922,617",4,0,0,1,1,self
House,"Kumarpara, Sylhet",2,2,2336,0,Whole house,"10,861,995",4,0,0,1,0,self
House,"Ambarkhana, Sylhet",5,4,2232,0,Whole house,"18,890,631",1,0,1,1,0,self
House,"Shibgonj, Sylhet",6,6,4069,0,Whole house,"24,497,982",1,0,1,1,0,self
House,"Shahporan, Sylhet",5,5,4367,0,Whole house,"22,265,799",4,0,0,0,0,self
Duplex,"Zindabazar, Sylhet",5,5,2700,1,Ground + 1st Floor,"21,662,815",3,0,0,0,0,self
Apartment,"Nayasarak, Sylhet",2,3,2231,2,2nd Floor,"14,882,181",4,1,1,0,0,self
House,"Taltola, Sylhet",3,3,2649,0,Whole house,"16,210,530",1,1,0,1,1,self
Apartment,"Mendibagh, Sylhet",2,2,2263,12,12th Floor,"16,212,625",1,0,0,0,0,self
House,"Kumarpara, Sylhet",6,6,5342,0,Whole house,"27,603,298",3,0,0,0,0,self
Apartment,"Pathantula, Sylhet",5,2,2093,5,5th Floor,"10,544,438",2,1,0,0,0,self
Apartment,"Chowhatta, Sylhet",3,2,1563,6,6th Floor,"6,810,425",2,0,0,0,1,self
House,"Moulikergaon, Sylhet",3,2,4056,0,Whole house,"30,442,255",2,1,1,1,0,self
Apartment,"Bagbari, Sylhet",4,3,1526,9,9th Floor,"7,374,641",3,1,0,1,0,self
Duplex,"Subidbazar, Sylhet",4,4,2815,2,Ground + 2nd Floor,"14,887,795",3,0,1,0,0,self
House,"Mira Housing Estate, Sylhet",3,2,2592,0,Whole house,"12,420,680",2,1,0,0,1,self
House,"Bagbari, Sylhet",4,4,3187,0,Whole house,"13,230,123",4,1,1,1,0,self
House,"Taltola, Sylhet",6,4,3415,0,Whole house,"19,593,608",4,1,0,1,0,self
Duplex,"Taltola, Sylhet",4,4,2444,2,Ground + 2nd Floor,"19,140,432",3,1,1,1,0,self
Apartment,"Chowhatta, Sylhet",5,4,1086,2,2nd Floor,"8,252,474",4,1,0,1,0,self
Duplex,"Moulikergaon, Sylhet",3,3,2888,2,Ground + 2nd Floor,"21,907,700",3,1,1,1,0,self
Duplex,"Ambarkhana, Sylhet",6,6,4130,1,Ground + 1st Floor,"20,404,254",4,1,0,1,0,self
Apartment,"Subidbazar, Sylhet",5,4,1238,9,9th Floor,"7,005,608",1,0,0,0,1,self
Apartment,"Kazirbazar, Sylhet",6,4,1996,7,7th Floor,"10,489,438",4,1,0,1,1,self
Duplex,"Subidbazar, Sylhet",5,5,4042,2,Ground + 2nd Floor,"26,076,699",2,0,0,1,1,self
Apartment,"Tilagor, Sylhet",5,3,1782,6,6th Floor,"14,161,103",2,0,0,0,0,self
Apartment,"Kazirbazar, Sylhet",6,3,2569,7,7th Floor,"9,227,382",4,1,0,1,1,self
Apartment,"Subidbazar, Sylhet",5,4,1967,10,10th Floor,"10,306,325",2,0,0,0,0,self
Duplex,"Subidbazar, Sylhet",4,3,2999,1,Ground + 1st Floor,"22,483,929",2,0,1,0,1,self
Duplex,"Ambarkhana, Sylhet",6,5,2801,1,Ground + 1st Floor,"20,674,894",4,1,1,0,0,self
Duplex,"Akhalia, Sylhet",5,3,2338,1,Ground + 1st Floor,"15,897,428",4,1,0,0,0,self
House,"Mirabazar, Sylhet",4,4,2892,0,Whole house,"17,151,698",4,1,1,0,1,self
House,"Shahjalal Uposhahar, Sylhet",2,2,3449,0,Whole house,"26,323,640",3,0,1,1,0,self
House,"Shibgonj, Sylhet",3,3,4586,0,Whole house,"24,161,569",2,1,1,0,0,self
Duplex,"Shahjalal Uposhahar, Sylhet",6,7,3261,1,Ground + 1st Floor,"28,615,591",1,0,1,0,0,self
Duplex,"Pathantula, Sylhet",6,7,2455,1,Ground + 1st Floor,"14,083,940",4,0,0,1,0,self
House,"Bagbari, Sylhet",1,3,2128,0,Whole house,"12,395,938",4,1,1,0,1,self
Duplex,"Kumarpara, Sylhet",3,2,2666,1,Ground + 1st Floor,"18,633,658",1,0,0,0,1,self
House,"Nayasarak, Sylhet",4,4,4578,0,Whole house,"20,979,939",4,1,1,0,0,self
House,"Pathantula, Sylhet",2,2,3094,0,Whole house,"19,395,618",3,0,0,1,0,self
House,"Shahjalal Uposhahar, Sylhet",8,7,2041,0,Whole house,"23,211,010",0,1,0,0,0,self
House,"Nayasarak, Sylhet",4,3,2990,0,Whole house,"15,901,765",3,1,0,1,0,self
Duplex,"Dargah Gate, Sylhet",2,2,2891,2,Ground + 2nd Floor,"18,403,775",3,0,0,0,1,self
House,"Shahporan, Sylhet",5,4,3211,0,Whole house,"14,704,259",2,1,1,0,1,self
Apartment,"Nayasarak, Sylhet",3,3,1617,4,4th Floor,"8,156,802",2,0,1,1,0,self
House,"Tilagor, Sylhet",2,1,4985,0,Whole house,"20,706,807",1,1,1,0,0,self
Duplex,"Nayasarak, Sylhet",3,2,2720,1,Ground + 1st Floor,"15,231,270",2,1,1,1,1,self
Apartment,"Shahporan, Sylhet",4,2,1294,2,2nd Floor,"6,967,089",1,0,1,1,0,self
Apartment,"Moulikergaon, Sylhet",5,5,2680,6,6th Floor,"17,775,269",3,0,0,1,1,self
Apartment,"Ambarkhana, Sylhet",3,4,2384,3,3rd Floor,"15,667,140",4,1,1,0,1,self
Duplex,"Zindabazar, Sylhet",2,2,2843,2,Ground + 2nd Floor,"25,347,508",2,1,1,0,0,self
Apartment,"Bagbari, Sylhet",2,2,1196,6,6th Floor,"5,475,727",1,1,1,0,1,self
Duplex,"Akhalia, Sylhet",2,3,2608,2,Ground + 2nd Floor,"18,255,525",2,0,0,1,1,self
House,"Chowhatta, Sylhet",6,3,4053,0,Whole house,"24,910,405",4,1,1,0,0,self
Duplex,"Zindabazar, Sylhet",3,2,2461,1,Ground + 1st Floor,"19,636,112",3,1,1,1,1,self
Apartment,"Akhalia, Sylhet",2,2,1058,9,9th Floor,"5,212,752",4,0,0,0,0,self
Apartment,"Akhalia, Sylhet",3,4,1861,10,10th Floor,"8,486,826",1,1,0,1,0,self
House,"Nayasarak, Sylhet",4,3,3676,0,Whole house,"17,046,307",3,1,0,1,0,self
Duplex,"Chowhatta, Sylhet",6,4,3163,1,Ground + 1st Floor,"29,433,056",1,0,0,0,0,self
Duplex,"Ambarkhana, Sylhet",5,4,2369,2,Ground + 2nd Floor,"18,575,588",2,1,1,0,1,self
House,"Mira Housing Estate, Sylhet",6,3,3088,0,Whole house,"20,259,182",2,1,1,0,1,self
House,"Kazirbazar, Sylhet",4,3,4545,0,Whole house,"29,452,692",1,1,0,0,1,self
Apartment,"Shibgonj, Sylhet",4,4,1719,8,8th Floor,"6,559,123",4,1,1,1,1,self
Apartment,"Chowhatta, Sylhet",4,4,983,6,6th Floor,"4,773,970",2,1,1,1,0,self
House,"Moulikergaon, Sylhet",6,5,2965,0,Whole house,"13,815,830",2,1,0,0,0,self
Duplex,"Zindabazar, Sylhet",3,3,3229,2,Ground + 2nd Floor,"27,718,084",2,1,1,0,0,self
Apartment,"Bagbari, Sylhet",4,4,2261,6,6th Floor,"16,616,824",1,1,1,1,0,self
Duplex,"Nayasarak, Sylhet",3,2,4459,1,Ground + 1st Floor,"42,543,688",4,1,1,1,0,self
Apartment,"Shibgonj, Sylhet",3,4,1690,2,2nd Floor,"7,725,740",2,1,1,1,1,self
Apartment,"Mirabazar, Sylhet",1,2,995,4,4th Floor,"7,207,049",2,1,0,1,0,self
Duplex,"Nayasarak, Sylhet",3,3,4547,2,Ground + 2nd Floor,"28,869,018",1,1,1,0,1,self
Duplex,"Nayasarak, Sylhet",3,2,3885,1,Ground + 1st Floor,"26,454,306",2,1,0,0,0,self
House,"Shibgonj, Sylhet",6,6,3881,0,Whole house,"24,468,492",1,0,1,1,0,self
Duplex,"Shahporan, Sylhet",3,4,4438,1,Ground + 1st Floor,"32,099,859",2,0,1,1,1,self
House,"Nayasarak, Sylhet",5,5,2710,0,Whole house,"16,966,701",3,0,1,0,1,self
House,"Ambarkhana, Sylhet",6,4,2200,0,Whole house,"16,622,412",1,0,1,1,0,self
Apartment,"Pathantula, Sylhet",3,2,1621,5,5th Floor,"10,392,502",4,1,0,0,0,self
Apartment,"Kazirbazar, Sylhet",3,2,2117,8,8th Floor,"10,027,007",2,1,1,1,1,self
Apartment,"Chowhatta, Sylhet",6,4,1745,4,4th Floor,"12,402,255",4,0,0,1,1,self
Apartment,"Ambarkhana, Sylhet",3,4,2141,3,3rd Floor,"16,667,690",4,1,1,0,1,self
Apartment,"Dargah Gate, Sylhet",4,5,1542,12,12th Floor,"10,048,944",1,0,0,0,1,self
House,"Mira Housing Estate, Sylhet",3,2,2850,0,Whole house,"12,433,827",2,1,0,0,1,self
Duplex,"Kazirbazar, Sylhet",2,2,3363,1,Ground + 1st Floor,"25,926,473",3,0,0,0,0,self
House,"Subidbazar, Sylhet",5,3,4526,0,Whole house,"32,872,073",5,1,1,1,0,self
House,"Pathantula, Sylhet",2,2,3621,0,Whole house,"20,948,136",3,0,0,1,0,self
House,"Shibgonj, Sylhet",4,4,2546,0,Whole house,"15,470,740",2,1,1,1,0,self
Duplex,"Moulikergaon, Sylhet",5,4,3867,2,Ground + 2nd Floor,"29,155,512",1,1,1,0,1,self
Duplex,"Mira Housing Estate, Sylhet",2,2,3703,2,Ground + 2nd Floor,"29,734,012",3,1,0,0,0,self
Apartment,"Zindabazar, Sylhet",4,4,1754,10,10th Floor,"10,610,653",3,1,1,1,1,self
House,"Kumarpara, Sylhet",6,6,1998,0,Whole house,"7,446,111",1,0,1,0,1,self
Duplex,"Kazirbazar, Sylhet",6,4,3909,1,Ground + 1st Floor,"29,454,739",1,0,0,1,0,self
